Ika Residences Banashankari Llp,1223,29AAIFI8604C1ZE,AAIFI8604C,"1937, 30th Cross Road,, Banashankari Stage 2,, Bengaluru, Bengaluru Urban,, Karnataka, 560070","1937, 30th Cross Road,, Banashankari Stage 2,, Bengaluru, Bengaluru Urban,, Karnataka, 560070",998314,Karnataka
S.K. Heights Pvt Ltd,1321,27AAOCS5110J1Z6,AAOCS5110J,"001, Basement, vithal kunj building no.1,, V P Road, andheri, Mumbai, Maharashtra,, 400058.","001, Basement, vithal kunj building no.1,, V P Road, andheri, Mumbai, Maharashtra,, 400058.",998314,Maharashtra
TS Realtech Private Limited,1171,06AADCK3222C1Z7,AADCK3222C,"IRIS Broadway, Sector-85-86,, Village Badha, Gurgaon,, Haryana - 122002.","IRIS Broadway, Sector-85-86,, Village Badha, Gurgaon,, Haryana - 122002.",998314,Haryana
Q Hestia Technologies Private Limited,1349,29AAACQ7716Q1ZO,AAACQ7716Q,"22, 5th floor, Hara Chambers, KH Road,, Bangalore, Bengaluru Urban,, Karnataka, 560027.","22, 5th floor, Hara Chambers, KH Road,, Bangalore, Bengaluru Urban,, Karnataka, 560027.",998314,Karnataka
Risali Developers,1234,27AAPFR2062N1ZN,AAPFR2062N,"Survey No 138/1,138/2,139/12,139/13,, Gaikwadpada Road, Ambernath E Kalyan, Thane, Maharashtra, 421501","Survey No 138/1,138/2,139/12,139/13,, Gaikwadpada Road, Ambernath E Kalyan, Thane, Maharashtra, 421501",998314,Maharashtra
Maharashtra Developers,1127,27AAOFM2679P1ZA,AAOFM2679P,"1104, 11Th Floor, Dev Corpora,, Nr. Cadbury Junction Khopat, Thane West,, Thane, Maharashtra, 400601.","1104, 11Th Floor, Dev Corpora,, Nr. Cadbury Junction Khopat, Thane West,, Thane, Maharashtra, 400601.",998314,Maharashtra
Rai Residency Pvt Ltd,1095,27AABCR7454F1ZA,AABCR7454F,"Shop No. 1, Ground Floor, Sai Ganesh Sankul,, Vijay Nagar, Kalyan East, Thane,, Maharashtra, 421306","Shop No. 1, Ground Floor, Sai Ganesh Sankul,, Vijay Nagar, Kalyan East, Thane,, Maharashtra, 421306",998314,Maharashtra
Alder Residency Private Limited,1220,27AAHCA1405F1Z6,AAHCA1405F,"101, Kalpataru Synergy, Opp. Grand Hyatt Hotel,, Santacruz East, Mumbai, Mumbai Suburban,, Maharashtra, 400055","101, Kalpataru Synergy, Opp. Grand Hyatt Hotel,, Santacruz East, Mumbai, Mumbai Suburban,, Maharashtra, 400055",998314,Maharashtra
K. R. Shoppers Pvt Ltd,1370,27AACCK0868P1ZZ,AACCK0868P,"B-5, Shree Nagar Society, Shriniwas, M. G. Road, Goregoan West, Mumbai Suburban, Maharashtra, 400062","B-5, Shree Nagar Society, Shriniwas, M. G. Road, Goregoan West, Mumbai Suburban, Maharashtra, 400062",998314,Maharashtra
Gopalkrishna Developers,1339,27AAGFG3307G1ZO,AAGFG3307G,"Radha Krishna Park, Nr. Chetna High School, Shree Malang Road, Kalyan East, Thane, Maharashtra, 421306","Radha Krishna Park, Nr. Chetna High School, Shree Malang Road, Kalyan East, Thane, Maharashtra, 421306",998314,Maharashtra
