id,uuid,name,developer_name,city,published,sv_rewards_enabled,created_at,Youtube Link,
,5570a936-a210-11ec-8edd-1ba6bf35e082,Kumar Pebble Park - Hadapsar,Kumar Properties,Pune,TRUE,Inactive,12 Mar 2022,,
,083608d8-a20a-11ec-9e42-d3494d7830e7,Kumar Samruddhi - Vishrantwadi,Kumar Properties,Pune,TRUE,Inactive,12 Mar 2022,,
,683f4df0-a207-11ec-9d37-d3e757bec290,Kumar Papillon - Pashan,Kumar Properties,Pune,TRUE,Inactive,12 Mar 2022,,
,427b538e-a202-11ec-96cd-93be79a6003f,SOBA OPTIMA2.0 - Sinhagad Road,AVIOR / ANANTA / SUVAN,Pune,TRUE,Active,12 Mar 2022,,
,4bcac3d4-a1f8-11ec-aa09-a74a39cb3c8a,Park Infinia - Phursungi,Kumar Properties,Pune,TRUE,Active,12 Mar 2022,,
,d9361294-a290-11ec-b934-5fa0bc626773,Tulsi Aangan NX - Karjat,Tulsi Realty,Mumbai,TRUE,Active,13 Mar 2022,,
,3b467806-a283-11ec-a4a2-8f99e85149bd,Sowparnika Pranathi - Kumbalgodu,Sowparnika Projects And Infrastructure Pvt. Ltd.,Bengaluru,TRUE,Active,13 Mar 2022,,
,84e4d464-a281-11ec-a8fd-4ff70ac7ea92,Mahaveer Celesse - Yelahanka				,"Mahaveer group M/s Reddy Structures Pvt Ltd""",Bengaluru,TRUE,Active,13 Mar 2022,,
,36e0b5fe-a3ac-11ec-bfb0-1333f93a6495,Ambar - Shukrawar Peth,Hublikar Rathi,Pune,TRUE,Active,14 Mar 2022,,
,0d167712-a3a8-11ec-9043-9f9230ad2a64,Mount Resort - Deonar Farm Road,Shree Krishna Homes Pvt Ltd ,Mumbai,TRUE,Active,14 Mar 2022,https://youtu.be/HCmkFLxf6Yk,
,8f316970-a3a6-11ec-8ec7-abe24e26e359,Pinnacle - Chembur East,Shree Krishna Homes Pvt Ltd ,Mumbai,TRUE,Active,14 Mar 2022,,
,2245e4aa-a3a4-11ec-bf9f-53074ef2bb42,Sangam - Chembur East,Shree Krishna Homes Pvt Ltd ,Mumbai,TRUE,Active,14 Mar 2022,,
,5ec1f79a-a3a2-11ec-a151-47626bb369d7,The Kollage - Andheri East,Zire Rushi Construction,Mumbai,TRUE,Active,14 Mar 2022,https://youtu.be/ZFgllQtZtEk,
,d13187be-a393-11ec-840e-7fb9fc548fe3,Vihar Heights - Vidyavihar East,Karmvir Group ,Mumbai,TRUE,Active,14 Mar 2022,,
,c17200e8-a414-11ec-ae8e-ff5712dd9d2e,Daisy Gardens - Ambernath,The Wadhwa Group,Mumbai,TRUE,Inactive,15 Mar 2022,,
,a13cba3c-a53d-11ec-afcd-c3f7c27ac75a,Drushti Sapphire -Ghatkopar East,Drushti Realtors Pvt Ltd ,Mumbai,TRUE,Active,16 Mar 2022,,
,c7f560fa-a53a-11ec-a79f-7b1ba22a3717,Corporate Annexe - Goregaon East,Cello And Sonal Realty,Mumbai,TRUE,Active,16 Mar 2022,,
,ad2c4aa2-a537-11ec-a5f1-0f61b59c19c8,Sai Akshi - Bhandup West,Uvk Builders And Developers Llp,Mumbai,TRUE,Active,16 Mar 2022,,
,95bf8510-a531-11ec-987f-e743a799eb32,Webcity - Hennur Main Road,Mantri Developers Pvt Ltd,Bengaluru,TRUE,Active,16 Mar 2022,,
,a661e2b8-a4dd-11ec-9497-0f455ae478c3,Antaliea Homes - Kogilu Layout,Sumedhaa Developers,Bengaluru,TRUE,Active,16 Mar 2022,,
,c664e23e-a5ca-11ec-a7ec-5b23d4814542,Odina - Chembur,Sqquare One Realty,Mumbai,TRUE,Inactive,17 Mar 2022,,
,a9b8c494-a5bf-11ec-9f9d-efd2bbf9ce55,Arv Royale - Hadapsar Handewadi Road,Arv Group,Pune,TRUE,Active,17 Mar 2022,,
,b156dfaa-a5bb-11ec-a3b5-938c553d66f0,Infinity cube - Punawale,Tulip developers,Pune,TRUE,Inactive,17 Mar 2022,,
,8e7e8a4e-a5b8-11ec-b2cd-efa00db6235b,Infinity world - Punawale,Tulip developers,Pune,TRUE,Active,17 Mar 2022,,
,bc8eb7ca-a5ad-11ec-b1e7-a37bf8065362,Miravet District - Ravet,Aswani Developers,Pune,TRUE,Active,17 Mar 2022,,
,e5ed4e96-a748-11ec-a588-472a0acb1b84,ARV Uthville - Kharadi,Arv Group,Pune,TRUE,Active,19 Mar 2022,,
,e5ebfa1e-a748-11ec-bfd0-d3e99834cde3,ARV Uthville,Arv Group,Pune,,Inactive,19 Mar 2022,,
,51cb50ca-a746-11ec-9451-b35aa009b1fa,Manjari Arcade - Govandi West,Jyoti Homemakers Private Limited,Mumbai,TRUE,Inactive,19 Mar 2022,,
,3f8dfd14-a740-11ec-ae19-53c42dc04044,Shaligram Sky - Kiwale,Shaligram Realty LLP,Pune,TRUE,Active,19 Mar 2022,,
,a170ddda-a73b-11ec-a21a-f7095721f207,Sky Annex - Chembur East,Stans Buildtech Realty,Mumbai,TRUE,Inactive,19 Mar 2022,,
,fe9bc87c-a816-11ec-aabd-6b84511799af,Kohinoor Prime - Shahad West,Kohinoor Group,Mumbai,TRUE,Active,20 Mar 2022,,
,805cc440-a92c-11ec-bcfb-4faee57b903c,Aakar Deep - Ghatkopar East,Aakar group,Mumbai,TRUE,Active,21 Mar 2022,,
,31d232e8-a926-11ec-9b5c-efa42754d593,Sentosa Ekam - Punawale,Sentosa Developers,Pune,TRUE,Active,21 Mar 2022,,
,3138263e-a90e-11ec-889b-d7715c981bac,TCG Cliff Garden - Hinjawadi Phase 3				,TCG,Pune,TRUE,Active,21 Mar 2022,https://youtu.be/Nbg9uNF6YlY,
,af10c4ce-a901-11ec-8f6c-cbbb2e7a4659,Allure - Ravet,GK Associates,Pune,TRUE,Inactive,21 Mar 2022,,
