Story_transaction_id,Story Id,Top Up Amount,Done By,Top Up Date,Story Name,Remarks,rid
1239,909,6900,Abigale Cardoz ,2022-06-30 0:00:00,Majestic Meadows - Virar,Others - Based on Approval,2
814,909,100000,Vaibhav Shinde,2022-05-22 0:00:00,Majestic Meadows - Virar,First Wallet Recharge,1
2969,908,2700,Abigale Cardoz ,2022-09-06 0:00:00,Solaris - Bannerghatta Rd,Others - Based on Approval,3
2074,908,3000,Abigale Cardoz ,2022-08-04 0:00:00,Solaris - Bannerghatta Rd,Others - Based on Approval,2
813,908,200000,Vaibhav Shinde,2022-05-22 0:00:00,Solaris - Bannerghatta Rd,First Wallet Recharge,1
2967,907,600,Abigale Cardoz ,2022-09-06 0:00:00,SNN Clermont - Hebbal,Others - Based on Approval,2
812,907,59000,Vaibhav Shinde,2022-05-22 0:00:00,SNN Clermont - Hebbal,First Wallet Recharge,1
2445,906,6300,Abigale Cardoz ,2022-09-03 0:00:00,Adityaraj Enclave - Ghatkopar East,Others - Based on Approval,4
1636,906,5700,Abigale Cardoz ,2022-08-02 0:00:00,Adityaraj Enclave - Ghatkopar East,Others - Based on Approval,3
1332,906,30000,Vaibhav Shinde,2022-06-30 0:00:00,Adityaraj Enclave - Ghatkopar East,Top up By Developer - Recharged based on approval,2
811,906,50000,Vaibhav Shinde,2022-05-22 0:00:00,Adityaraj Enclave - Ghatkopar East,First Wallet Recharge,1
2654,905,35300,Abigale Cardoz ,2022-09-05 0:00:00,Jijai Angan - Taloja,Others - Based on Approval,5
2312,905,200000,Vaibhav Shinde,2022-08-21 0:00:00,Jijai Angan - Taloja,Top-up From Developer,4
1820,905,9900,Abigale Cardoz ,2022-08-03 0:00:00,Jijai Angan - Taloja,Others - Based on Approval,3
1088,905,4200,Vaibhav Shinde,2022-06-26 0:00:00,Jijai Angan - Taloja,Others - Based on Approval,2
810,905,107400,Vaibhav Shinde,2022-05-21 0:00:00,Jijai Angan - Taloja,First Wallet Recharge,1
3031,904,7500,Abigale Cardoz ,2022-09-06 0:00:00,Tulip Heights - Kalyan East,Others - Based on Approval,4
2132,904,6000,Abigale Cardoz ,2022-08-04 0:00:00,Tulip Heights - Kalyan East,Others - Based on Approval,3
1130,904,3000,Vaibhav Shinde,2022-06-26 0:00:00,Tulip Heights - Kalyan East,Others - Based on Approval,2
809,904,100000,Vaibhav Shinde,2022-05-21 0:00:00,Tulip Heights - Kalyan East,First Wallet Recharge,1
2374,903,30000,Vaibhav Shinde,2022-08-27 0:00:00,Park Avenuue - Sarjapur Road,Top-up From Developer - Advance top up based on approval,3
1938,903,6900,Abigale Cardoz ,2022-08-03 0:00:00,Park Avenuue - Sarjapur Road,Others - Based on Approval,2
808,903,200000,Vaibhav Shinde,2022-05-21 0:00:00,Park Avenuue - Sarjapur Road,First Wallet Recharge,1
2851,902,1500,Abigale Cardoz ,2022-09-06 0:00:00,Rock View - Hebbal				,Others - Based on Approval,2
807,902,100000,Vaibhav Shinde,2022-05-21 0:00:00,Rock View - Hebbal				,First Wallet Recharge,1
